Código Departamento|Departamento|Código Entidad|Entidad|Dimensión|Subcategoría|Indicador|Dato Numérico|Dato Cualitativo|Año|Mes|Fuente|Unidad de Medida
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|32.808,00||2028|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|33.126,00||2029|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|33.433,00||2030|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|33.766,00||2031|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|34.029,00||2032|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|34.341,00||2033|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|34.613,00||2034|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|34.903,00||2035|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|31,44||2018|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|32,94||2019|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|33,78||2020|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|34,58||2021|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|35,26||2022|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|35,91||2023|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|36,46||2024|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|36,95||2025|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|37,40||2026|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|37,79||2027|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|38,19||2028|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|38,56||2029|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|38,92||2030|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|39,31||2031|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|39,61||2032|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|39,98||2033|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|40,29||2034|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Densidad poblacional|40,63||2035|12|DNP con información del IGAC y el DANE|Hab/Km2
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Variación porcentual intercensal - 2005 2018|56,76||2018|12|DANE|Porcentaje
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Tipologías de los municipios para el reconocimiento de capacidades y resultados||3|2024|12|DNP |-
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.104,00||2018|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.185,00||2019|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.156,00||2020|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.150,00||2021|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.132,00||2022|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.111,00||2023|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.085,00||2024|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.058,00||2025|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.035,00||2026|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.020,00||2027|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|2.000,00||2028|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|1.981,00||2029|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|1.960,00||2030|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|1.942,00||2031|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|1.923,00||2032|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|1.914,00||2033|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|1.897,00||2034|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 00-04|1.887,00||2035|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.921,00||2018|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.993,00||2019|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|2.005,00||2020|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|2.032,00||2021|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|2.048,00||2022|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|2.063,00||2023|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|2.066,00||2024|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|2.060,00||2025|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|2.042,00||2026|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|2.006,00||2027|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.975,00||2028|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.947,00||2029|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.916,00||2030|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.897,00||2031|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.882,00||2032|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.868,00||2033|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.847,00||2034|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 05-09|1.828,00||2035|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.675,00||2018|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.739,00||2019|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.753,00||2020|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.783,00||2021|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.812,00||2022|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.835,00||2023|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.856,00||2024|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.868,00||2025|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.883,00||2026|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.886,00||2027|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.896,00||2028|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.889,00||2029|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.880,00||2030|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.858,00||2031|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.830,00||2032|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.801,00||2033|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.775,00||2034|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 10-14|1.751,00||2035|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.451,00||2018|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.513,00||2019|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.536,00||2020|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.567,00||2021|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.591,00||2022|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.618,00||2023|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.640,00||2024|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.658,00||2025|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.677,00||2026|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.692,00||2027|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.712,00||2028|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.726,00||2029|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.739,00||2030|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.750,00||2031|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.755,00||2032|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.760,00||2033|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.756,00||2034|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 15-19|1.750,00||2035|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.203,00||2018|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.268,00||2019|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.296,00||2020|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.330,00||2021|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.361,00||2022|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.384,00||2023|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.402,00||2024|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.415,00||2025|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.429,00||2026|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.445,00||2027|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.463,00||2028|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.478,00||2029|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.493,00||2030|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.509,00||2031|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.525,00||2032|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.543,00||2033|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.555,00||2034|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 20-24|1.567,00||2035|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|978,00||2018|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.032,00||2019|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.062,00||2020|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.089,00||2021|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.112,00||2022|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.136,00||2023|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.154,00||2024|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.174,00||2025|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.188,00||2026|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.197,00||2027|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.210,00||2028|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.223,00||2029|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.233,00||2030|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.245,00||2031|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.257,00||2032|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.269,00||2033|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.283,00||2034|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 25-29|1.299,00||2035|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 30-34|817,00||2018|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 30-34|857,00||2019|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 30-34|907,00||2020|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 30-34|942,00||2021|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
20|Cesar|20570|Pueblo Bello|Demografía y población|Población de hombres|Población de hombres de 30-34|976,00||2022|12|DANE - Proyecciones de población con base en el Censo 2018. Elaboración DNP|Hombres
